MemberName,RegPointH,RegPointV,CRectLeft,CRectTop,CRectRight,CRectBottom,SRectLeft,SRectTop,SRectRight,SRectBottom,BRectLeft,BRectTop,BRectRight,BRectBottom
h_wlk_bd_001_7_2,0,62,0,0,49,68,167,149,231,181,129,150,193,182
h_wlk_bd_001_7_3,-25,61,0,0,23,69,167,149,231,181,129,150,193,182
h_sit_bd_001_0_0,-26,62,0,0,43,44,167,149,231,181,129,150,193,182
h_sit_bd_001_2_0,-26,61,0,0,42,59,167,149,231,181,129,150,193,182
h_std_bd_002_0_0,-23,62,0,0,30,69,167,149,231,181,129,150,193,182
h_std_bd_002_1_0,-27,62,0,0,22,69,167,149,231,181,129,150,193,182
h_std_bd_002_2_0,-23,61,0,0,31,69,167,149,231,181,129,150,193,182
h_std_bd_002_3_0,-23,61,0,0,27,67,167,149,231,181,129,150,193,182
h_std_bd_002_7_0,-24,62,0,0,25,68,167,149,231,181,129,150,193,182
h_wlk_bd_002_0_0,-24,62,0,0,27,66,167,149,231,181,129,150,193,182
h_wlk_bd_002_0_1,-15,61,0,0,45,65,167,149,231,181,129,150,193,182
h_wlk_bd_002_0_2,-24,62,0,0,29,69,167,149,231,181,129,150,193,182
h_wlk_bd_002_0_3,-25,61,0,0,24,70,167,149,231,181,129,150,193,182
h_wlk_bd_002_1_0,-24,62,0,0,24,66,167,149,231,181,129,150,193,182
h_wlk_bd_002_1_1,-15,61,0,0,46,65,167,149,231,181,129,150,193,182
h_wlk_bd_002_1_2,-26,62,0,0,23,69,167,149,231,181,129,150,193,182
h_wlk_bd_002_1_3,-15,61,0,0,49,68,167,149,231,181,129,150,193,182
h_wlk_bd_002_2_0,-20,61,0,0,32,62,167,149,231,181,129,150,193,182
h_wlk_bd_002_2_1,-26,60,0,0,22,65,167,149,231,181,129,150,193,182
h_wlk_bd_002_2_2,-24,61,0,0,27,69,167,149,231,181,129,150,193,182
h_wlk_bd_002_2_3,-13,60,0,0,46,61,167,149,231,181,129,150,193,182
h_wlk_bd_002_3_0,-26,61,0,0,22,67,167,149,231,181,129,150,193,182
h_wlk_bd_002_3_1,-25,60,0,0,22,67,167,149,231,181,129,150,193,182
h_wlk_bd_002_3_2,-25,61,0,0,22,67,167,149,231,181,129,150,193,182
h_wlk_bd_002_3_3,-26,60,0,0,22,67,167,149,231,181,129,150,193,182
h_wlk_bd_002_7_0,-24,62,0,0,24,68,167,149,231,181,129,150,193,182
h_wlk_bd_002_7_1,-25,61,0,0,23,69,167,149,231,181,129,150,193,182
h_wlk_bd_002_7_2,-25,62,0,0,24,68,167,149,231,181,129,150,193,182
h_wlk_bd_002_7_3,-25,61,0,0,23,69,167,149,231,181,129,150,193,182
h_sit_bd_002_0_0,-26,62,0,0,43,44,167,149,231,181,129,150,193,182
h_sit_bd_002_2_0,-26,61,0,0,42,59,167,149,231,181,129,150,193,182
h_std_rh_001_0_0,0,58,0,0,50,59,167,149,231,181,129,150,193,182
h_std_rh_001_1_0,0,55,0,0,41,56,167,149,231,181,129,150,193,182
h_std_rh_001_2_0,0,58,0,0,34,59,167,149,231,181,129,150,193,182
h_std_rh_001_3_0,0,60,0,0,29,61,167,149,231,181,129,150,193,182
h_std_rh_001_7_0,0,58,0,0,52,59,167,149,231,181,129,150,193,182
h_wlk_rh_001_0_1,-36,56,0,0,11,33,167,149,231,181,129,150,193,182
h_wlk_rh_001_0_3,-39,57,0,0,16,29,167,149,231,181,129,150,193,182
h_wlk_rh_001_1_1,-25,55,0,0,12,30,167,149,231,181,129,150,193,182
h_wlk_rh_001_1_3,-29,55,0,0,20,26,167,149,231,181,129,150,193,182
h_wlk_rh_001_2_1,-20,58,0,0,12,34,167,149,231,181,129,150,193,182
h_wlk_rh_001_2_3,-25,57,0,0,15,31,167,149,231,181,129,150,193,182
h_wlk_rh_001_3_1,-23,59,0,0,6,31,167,149,231,181,129,150,193,182
h_wlk_rh_001_3_3,-22,60,0,0,8,33,167,149,231,181,129,150,193,182
h_wlk_rh_001_7_1,-44,58,0,0,7,32,167,149,231,181,129,150,193,182
h_wlk_rh_001_7_3,-44,58,0,0,6,27,167,149,231,181,129,150,193,182
h_crr_rh_001_0_0,0,58,0,0,55,59,167,149,231,181,129,150,193,182
h_crr_rh_001_1_0,0,55,0,0,52,56,167,149,231,181,129,150,193,182
h_crr_rh_001_2_0,0,58,0,0,43,59,167,149,231,181,129,150,193,182
h_crr_rh_001_3_0,0,60,0,0,30,61,167,149,231,181,129,150,193,182
h_crr_rh_001_4_0,0,61,0,0,57,62,167,149,231,181,129,150,193,182
h_crr_rh_001_5_0,0,58,0,0,55,59,167,149,231,181,129,150,193,182
h_crr_rh_001_6_0,0,59,0,0,29,60,167,149,231,181,129,150,193,182
h_crr_rh_001_7_0,0,58,0,0,50,59,167,149,231,181,129,150,193,182
h_drk_rh_001_0_0,0,68,0,0,53,69,167,149,231,181,129,150,193,182
h_drk_rh_001_1_0,0,64,0,0,51,65,167,149,231,181,129,150,193,182
h_drk_rh_001_2_0,0,64,0,0,49,65,167,149,231,181,129,150,193,182
h_drk_rh_001_3_0,0,65,0,0,37,66,167,149,231,181,129,150,193,182
h_drk_rh_001_4_0,0,67,0,0,55,68,167,149,231,181,129,150,193,182
h_drk_rh_001_5_0,0,65,0,0,53,66,167,149,231,181,129,150,193,182
h_drk_rh_001_6_0,0,62,0,0,45,63,167,149,231,181,129,150,193,182
h_drk_rh_001_7_0,0,66,0,0,49,67,167,149,231,181,129,150,193,182
h_std_lh_001_0_0,0,59,0,0,29,60,167,149,231,181,129,150,193,182
h_std_lh_001_1_0,0,56,0,0,43,57,167,149,231,181,129,150,193,182
h_std_lh_001_2_0,0,61,0,0,51,62,167,149,231,181,129,150,193,182
h_std_lh_001_3_0,0,60,0,0,52,61,167,149,231,181,129,150,193,182
h_std_lh_001_7_0,0,58,0,0,29,59,167,149,231,181,129,150,193,182
h_wlk_lh_001_0_1,-25,58,0,0,7,25,167,149,231,181,129,150,193,182
h_wlk_lh_001_0_3,-21,58,0,0,8,31,167,149,231,181,129,150,193,182
h_wlk_lh_001_1_1,-43,40,0,0,5,8,167,149,231,181,129,150,193,182
h_wlk_lh_001_1_3,-26,52,0,0,5,18,167,149,231,181,129,150,193,182
h_wlk_lh_001_2_1,-41,60,0,0,15,30,167,149,231,181,129,150,193,182
h_wlk_lh_001_2_3,-41,60,0,0,4,5,167,149,231,181,129,150,193,182
h_wlk_lh_001_3_1,-42,60,0,0,8,33,167,149,231,181,129,150,193,182
h_wlk_lh_001_3_3,-44,59,0,0,6,31,167,149,231,181,129,150,193,182
h_wlk_lh_001_7_1,-23,58,0,0,6,27,167,149,231,181,129,150,193,182
h_wlk_lh_001_7_3,-22,58,0,0,7,32,167,149,231,181,129,150,193,182
h_crr_lh_001_0_0,0,59,0,0,29,60,167,149,231,181,129,150,193,182
h_crr_lh_001_1_0,0,58,0,0,54,59,167,149,231,181,129,150,193,182
h_crr_lh_001_2_0,0,62,0,0,56,63,167,149,231,181,129,150,193,182
h_crr_lh_001_3_0,0,60,0,0,51,61,167,149,231,181,129,150,193,182
h_crr_lh_001_4_0,0,58,0,0,49,59,167,149,231,181,129,150,193,182
h_crr_lh_001_5_0,0,55,0,0,45,56,167,149,231,181,129,150,193,182
h_crr_lh_001_6_0,0,58,0,0,35,59,167,149,231,181,129,150,193,182
h_crr_lh_001_7_0,0,58,0,0,29,59,167,149,231,181,129,150,193,182
h_drk_lh_001_0_0,0,62,0,0,45,63,167,149,231,181,129,150,193,182
h_drk_lh_001_1_0,0,65,0,0,52,66,167,149,231,181,129,150,193,182
h_drk_lh_001_2_0,0,67,0,0,54,68,167,149,231,181,129,150,193,182
h_drk_lh_001_3_0,0,65,0,0,48,66,167,149,231,181,129,150,193,182
h_drk_lh_001_4_0,0,64,0,0,47,65,167,149,231,181,129,150,193,182
h_drk_lh_001_5_0,0,64,0,0,43,65,167,149,231,181,129,150,193,182
h_drk_lh_001_6_0,0,68,0,0,35,69,167,149,231,181,129,150,193,182
h_drk_lh_001_7_0,0,66,0,0,31,67,167,149,231,181,129,150,193,182
h_std_hd_001_0_0,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_std_hd_001_1_0,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_std_hd_001_2_0,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_std_hd_001_3_0,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_std_hd_001_7_0,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_spk_hd_001_0_0,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_spk_hd_001_0_1,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_spk_hd_001_1_0,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_spk_hd_001_1_1,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_spk_hd_001_2_0,0,86,0,0,47,87,167,149,231,181,129,150,193,182
h_spk_hd_001_2_1,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_spk_hd_001_3_0,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_spk_hd_001_3_1,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_spk_hd_001_7_0,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_spk_hd_001_7_1,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_std_hd_002_0_0,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_std_hd_002_1_0,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_std_hd_002_2_0,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_std_hd_002_3_0,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_std_hd_002_7_0,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_spk_hd_002_0_0,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_spk_hd_002_0_1,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_spk_hd_002_1_0,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_spk_hd_002_1_1,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_spk_hd_002_2_0,0,86,0,0,47,87,167,149,231,181,129,150,193,182
h_spk_hd_002_2_1,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_spk_hd_002_3_0,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_spk_hd_002_3_1,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_spk_hd_002_7_0,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_spk_hd_002_7_1,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_std_hd_003_0_0,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_std_hd_003_1_0,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_std_hd_003_2_0,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_std_hd_003_3_0,0,84,0,0,46,85,167,149,231,181,129,150,193,182
h_std_hd_003_7_0,0,84,0,0,46,85,167,149,231,181,129,150,193,182
h_spk_hd_003_0_0,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_spk_hd_003_0_1,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_spk_hd_003_1_0,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_spk_hd_003_1_1,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_spk_hd_003_2_0,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_spk_hd_003_2_1,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_spk_hd_003_3_0,0,85,0,0,46,86,167,149,231,181,129,150,193,182
h_spk_hd_003_3_1,0,84,0,0,46,85,167,149,231,181,129,150,193,182
h_spk_hd_003_7_0,0,85,0,0,46,86,167,149,231,181,129,150,193,182
h_spk_hd_003_7_1,0,84,0,0,46,85,167,149,231,181,129,150,193,182
h_std_hd_004_0_0,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_std_hd_004_1_0,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_std_hd_004_2_0,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_std_hd_004_3_0,0,84,0,0,46,85,167,149,231,181,129,150,193,182
h_std_hd_004_7_0,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_spk_hd_004_0_0,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_spk_hd_004_0_1,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_spk_hd_004_1_0,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_spk_hd_004_1_1,0,83,0,0,47,84,167,149,231,181,129,150,193,182
h_spk_hd_004_2_0,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_spk_hd_004_2_1,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_spk_hd_004_3_0,0,85,0,0,46,86,167,149,231,181,129,150,193,182
h_spk_hd_004_3_1,0,84,0,0,46,85,167,149,231,181,129,150,193,182
h_spk_hd_004_7_0,0,85,0,0,47,86,167,149,231,181,129,150,193,182
h_spk_hd_004_7_1,0,84,0,0,47,85,167,149,231,181,129,150,193,182
h_std_fc_001_1_0,-41,72,0,0,6,11,167,149,231,181,129,150,193,182
h_spk_fc_001_1_0,-41,73,0,0,6,12,167,149,231,181,129,150,193,182
h_spk_fc_001_1_1,-41,72,0,0,6,11,167,149,231,181,129,150,193,182
h_sml_fc_001_1_0,-41,72,0,0,6,11,167,149,231,181,129,150,193,182
h_agr_fc_001_1_0,-41,72,0,0,6,11,167,149,231,181,129,150,193,182
h_srp_fc_001_1_0,-41,72,0,0,6,11,167,149,231,181,129,150,193,182
h_sad_fc_001_1_0,-41,72,0,0,6,11,167,149,231,181,129,150,193,182
h_std_fc_001_2_0,-38,70,0,0,6,10,167,149,231,181,129,150,193,182
h_spk_fc_001_2_0,-38,71,0,0,6,11,167,149,231,181,129,150,193,182
h_spk_fc_001_2_1,-38,70,0,0,6,10,167,149,231,181,129,150,193,182
h_sml_fc_001_2_0,-38,70,0,0,6,10,167,149,231,181,129,150,193,182
h_agr_fc_001_2_0,-38,70,0,0,6,10,167,149,231,181,129,150,193,182
h_srp_fc_001_2_0,-38,70,0,0,6,10,167,149,231,181,129,150,193,182
h_sad_fc_001_2_0,-38,70,0,0,6,10,167,149,231,181,129,150,193,182
h_std_fc_001_3_0,-34,71,0,0,5,11,167,149,231,181,129,150,193,182
h_spk_fc_001_3_0,-34,72,0,0,5,12,167,149,231,181,129,150,193,182
h_spk_fc_001_3_1,-34,71,0,0,5,11,167,149,231,181,129,150,193,182
h_sml_fc_001_3_0,-34,71,0,0,5,11,167,149,231,181,129,150,193,182
h_agr_fc_001_3_0,-34,71,0,0,5,11,167,149,231,181,129,150,193,182
h_srp_fc_001_3_0,-34,71,0,0,5,11,167,149,231,181,129,150,193,182
h_sad_fc_001_3_0,-34,71,0,0,5,11,167,149,231,181,129,150,193,182
h_std_fc_002_1_0,-34,72,0,0,13,13,167,149,231,181,129,150,193,182
h_spk_fc_002_1_0,-34,73,0,0,13,14,167,149,231,181,129,150,193,182
h_spk_fc_002_1_1,-34,72,0,0,13,13,167,149,231,181,129,150,193,182
h_sml_fc_002_1_0,-34,72,0,0,13,13,167,149,231,181,129,150,193,182
h_agr_fc_002_1_0,-34,72,0,0,13,13,167,149,231,181,129,150,193,182
h_srp_fc_002_1_0,-34,72,0,0,13,13,167,149,231,181,129,150,193,182
h_sad_fc_002_1_0,-34,72,0,0,13,13,167,149,231,181,129,150,193,182
h_std_fc_002_2_0,-29,70,0,0,16,12,167,149,231,181,129,150,193,182
h_spk_fc_002_2_0,-29,71,0,0,16,13,167,149,231,181,129,150,193,182
h_spk_fc_002_2_1,-29,70,0,0,16,12,167,149,231,181,129,150,193,182
h_sml_fc_002_2_0,-29,70,0,0,16,12,167,149,231,181,129,150,193,182
h_agr_fc_002_2_0,-29,70,0,0,16,12,167,149,231,181,129,150,193,182
h_srp_fc_002_2_0,-29,70,0,0,16,12,167,149,231,181,129,150,193,182
h_sad_fc_002_2_0,-29,70,0,0,16,12,167,149,231,181,129,150,193,182
h_std_fc_002_3_0,-29,71,0,0,15,12,167,149,231,181,129,150,193,182
h_spk_fc_002_3_0,-29,72,0,0,15,12,167,149,231,181,129,150,193,182
h_spk_fc_002_3_1,-29,71,0,0,15,12,167,149,231,181,129,150,193,182
h_sml_fc_002_3_0,-29,71,0,0,15,12,167,149,231,181,129,150,193,182
h_agr_fc_002_3_0,-29,71,0,0,15,12,167,149,231,181,129,150,193,182
h_srp_fc_002_3_0,-29,71,0,0,15,12,167,149,231,181,129,150,193,182
h_sad_fc_002_3_0,-29,71,0,0,15,12,167,149,231,181,129,150,193,182
h_std_fc_003_1_0,-41,72,0,0,7,11,167,149,231,181,129,150,193,182
h_spk_fc_003_1_0,0,72,0,0,48,73,167,149,231,181,129,150,193,182
h_spk_fc_003_1_1,0,72,0,0,48,73,167,149,231,181,129,150,193,182
h_sml_fc_003_1_0,0,72,0,0,48,73,167,149,231,181,129,150,193,182
h_agr_fc_003_1_0,0,72,0,0,48,73,167,149,231,181,129,150,193,182
h_srp_fc_003_1_0,0,72,0,0,48,73,167,149,231,181,129,150,193,182
h_sad_fc_003_1_0,0,72,0,0,48,73,167,149,231,181,129,150,193,182
h_std_fc_003_2_0,-38,71,0,0,6,11,167,149,231,181,129,150,193,182
h_spk_fc_003_2_0,0,71,0,0,44,72,167,149,231,181,129,150,193,182
h_spk_fc_003_2_1,0,71,0,0,44,72,167,149,231,181,129,150,193,182
h_sml_fc_003_2_0,0,71,0,0,44,72,167,149,231,181,129,150,193,182
h_agr_fc_003_2_0,0,71,0,0,44,72,167,149,231,181,129,150,193,182
h_srp_fc_003_2_0,0,71,0,0,44,72,167,149,231,181,129,150,193,182
h_sad_fc_003_2_0,0,71,0,0,44,72,167,149,231,181,129,150,193,182
h_std_fc_003_3_0,-34,72,0,0,5,12,167,149,231,181,129,150,193,182
h_spk_fc_003_3_0,0,72,0,0,39,73,167,149,231,181,129,150,193,182
h_spk_fc_003_3_1,0,72,0,0,39,73,167,149,231,181,129,150,193,182
h_sml_fc_003_3_0,0,72,0,0,40,73,167,149,231,181,129,150,193,182
h_agr_fc_003_3_0,0,72,0,0,40,73,167,149,231,181,129,150,193,182
h_srp_fc_003_3_0,0,72,0,0,40,73,167,149,231,181,129,150,193,182
h_sad_fc_003_3_0,0,72,0,0,40,73,167,149,231,181,129,150,193,182
h_std_fc_004_1_0,-41,72,0,0,6,11,167,149,231,181,129,150,193,182
h_spk_fc_004_1_0,0,72,0,0,47,73,167,149,231,181,129,150,193,182
h_spk_fc_004_1_1,0,72,0,0,47,73,167,149,231,181,129,150,193,182
h_sml_fc_004_1_0,0,72,0,0,47,73,167,149,231,181,129,150,193,182
h_agr_fc_004_1_0,0,72,0,0,47,73,167,149,231,181,129,150,193,182
h_srp_fc_004_1_0,0,72,0,0,47,73,167,149,231,181,129,150,193,182
h_sad_fc_004_1_0,0,72,0,0,47,73,167,149,231,181,129,150,193,182
h_std_fc_004_2_0,-38,71,0,0,6,11,167,149,231,181,129,150,193,182
h_spk_fc_004_2_0,0,71,0,0,44,72,167,149,231,181,129,150,193,182
h_spk_fc_004_2_1,0,71,0,0,44,72,167,149,231,181,129,150,193,182
h_sml_fc_004_2_0,0,71,0,0,44,72,167,149,231,181,129,150,193,182
h_agr_fc_004_2_0,0,71,0,0,44,72,167,149,231,181,129,150,193,182
h_srp_fc_004_2_0,0,71,0,0,44,72,167,149,231,181,129,150,193,182
h_sad_fc_004_2_0,0,71,0,0,44,72,167,149,231,181,129,150,193,182
h_std_fc_004_3_0,-34,72,0,0,5,12,167,149,231,181,129,150,193,182
h_spk_fc_004_3_0,0,72,0,0,39,73,167,149,231,181,129,150,193,182
h_spk_fc_004_3_1,0,72,0,0,39,73,167,149,231,181,129,150,193,182
h_sml_fc_004_3_0,0,72,0,0,40,73,167,149,231,181,129,150,193,182
h_agr_fc_004_3_0,0,72,0,0,40,73,167,149,231,181,129,150,193,182
h_srp_fc_004_3_0,0,72,0,0,40,73,167,149,231,181,129,150,193,182
h_sad_fc_004_3_0,0,72,0,0,40,73,167,149,231,181,129,150,193,182
h_std_ey_001_1_0,-40,72,0,0,5,5,167,149,231,181,129,150,193,182
h_sml_ey_001_1_0,0,72,0,0,45,73,167,149,231,181,129,150,193,182
h_agr_ey_001_1_0,0,72,0,0,46,73,167,149,231,181,129,150,193,182
h_srp_ey_001_1_0,0,73,0,0,45,74,167,149,231,181,129,150,193,182
h_sad_ey_001_1_0,0,73,0,0,45,74,167,149,231,181,129,150,193,182
h_eyb_ey_001_1_0,-41,72,0,0,4,4,167,149,231,181,129,150,193,182
h_std_ey_001_2_0,-35,74,0,0,11,8,167,149,231,181,129,150,193,182
h_sml_ey_001_2_0,0,74,0,0,46,75,167,149,231,181,129,150,193,182
h_agr_ey_001_2_0,0,75,0,0,46,76,167,149,231,181,129,150,193,182
h_srp_ey_001_2_0,0,75,0,0,46,76,167,149,231,181,129,150,193,182
h_sad_ey_001_2_0,0,74,0,0,46,75,167,149,231,181,129,150,193,182
h_eyb_ey_001_2_0,-35,74,0,0,11,8,167,149,231,181,129,150,193,182
h_std_ey_001_3_0,-30,72,0,0,13,5,167,149,231,181,129,150,193,182
h_sml_ey_001_3_0,0,72,0,0,43,73,167,149,231,181,129,150,193,182
h_agr_ey_001_3_0,0,73,0,0,43,74,167,149,231,181,129,150,193,182
h_srp_ey_001_3_0,0,73,0,0,43,74,167,149,231,181,129,150,193,182
h_sad_ey_001_3_0,0,72,0,0,43,73,167,149,231,181,129,150,193,182
h_eyb_ey_001_3_0,-30,72,0,0,13,5,167,149,231,181,129,150,193,182
h_std_ey_002_1_0,-40,70,0,0,5,3,167,149,231,181,129,150,193,182
h_sml_ey_002_1_0,-39,71,0,0,6,4,167,149,231,181,129,150,193,182
h_agr_ey_002_1_0,-40,72,0,0,6,5,167,149,231,181,129,150,193,182
h_srp_ey_002_1_0,-40,73,0,0,5,6,167,149,231,181,129,150,193,182
h_sad_ey_002_1_0,-39,72,0,0,6,5,167,149,231,181,129,150,193,182
h_eyb_ey_002_1_0,-41,69,0,0,4,2,167,149,231,181,129,150,193,182
h_std_ey_002_2_0,-33,72,0,0,13,6,167,149,231,181,129,150,193,182
h_sml_ey_002_2_0,-34,72,0,0,12,6,167,149,231,181,129,150,193,182
h_agr_ey_002_2_0,-34,73,0,0,12,7,167,149,231,181,129,150,193,182
h_srp_ey_002_2_0,-34,74,0,0,12,8,167,149,231,181,129,150,193,182
h_sad_ey_002_2_0,-33,72,0,0,13,6,167,149,231,181,129,150,193,182
h_eyb_ey_002_2_0,-35,70,0,0,11,4,167,149,231,181,129,150,193,182
h_std_ey_002_3_0,-30,70,0,0,13,3,167,149,231,181,129,150,193,182
h_sml_ey_002_3_0,-29,71,0,0,15,4,167,149,231,181,129,150,193,182
h_agr_ey_002_3_0,-30,72,0,0,13,5,167,149,231,181,129,150,193,182
h_srp_ey_002_3_0,-31,72,0,0,11,5,167,149,231,181,129,150,193,182
h_sad_ey_002_3_0,-30,72,0,0,13,5,167,149,231,181,129,150,193,182
h_eyb_ey_002_3_0,-30,69,0,0,13,2,167,149,231,181,129,150,193,182
h_std_ey_003_1_0,-40,72,0,0,5,4,167,149,231,181,129,150,193,182
h_sml_ey_003_1_0,-39,72,0,0,6,4,167,149,231,181,129,150,193,182
h_agr_ey_003_1_0,-40,72,0,0,6,4,167,149,231,181,129,150,193,182
h_srp_ey_003_1_0,-41,73,0,0,4,6,167,149,231,181,129,150,193,182
h_sad_ey_003_1_0,-39,72,0,0,6,4,167,149,231,181,129,150,193,182
h_eyb_ey_003_1_0,-41,72,0,0,4,5,167,149,231,181,129,150,193,182
h_std_ey_003_2_0,-34,73,0,0,12,6,167,149,231,181,129,150,193,182
h_sml_ey_003_2_0,-34,73,0,0,12,6,167,149,231,181,129,150,193,182
h_agr_ey_003_2_0,-35,74,0,0,11,7,167,149,231,181,129,150,193,182
h_srp_ey_003_2_0,-35,75,0,0,11,9,167,149,231,181,129,150,193,182
h_sad_ey_003_2_0,-34,72,0,0,12,6,167,149,231,181,129,150,193,182
h_eyb_ey_003_2_0,-34,73,0,0,12,7,167,149,231,181,129,150,193,182
h_std_ey_003_3_0,-30,72,0,0,13,4,167,149,231,181,129,150,193,182
h_sml_ey_003_3_0,-30,72,0,0,13,4,167,149,231,181,129,150,193,182
h_agr_ey_003_3_0,-30,73,0,0,13,5,167,149,231,181,129,150,193,182
h_srp_ey_003_3_0,-31,73,0,0,11,6,167,149,231,181,129,150,193,182
h_sad_ey_003_3_0,-30,72,0,0,13,4,167,149,231,181,129,150,193,182
h_eyb_ey_003_3_0,-30,72,0,0,13,5,167,149,231,181,129,150,193,182
h_std_ey_004_0_0,-40,73,0,0,8,5,167,149,231,181,129,150,193,182
h_std_ey_004_1_0,-35,72,0,0,11,5,167,149,231,181,129,150,193,182
h_sml_ey_004_1_0,-35,72,0,0,11,5,167,149,231,181,129,150,193,182
h_agr_ey_004_1_0,-35,73,0,0,11,6,167,149,231,181,129,150,193,182
h_srp_ey_004_1_0,-35,73,0,0,11,6,167,149,231,181,129,150,193,182
h_sad_ey_004_1_0,-35,72,0,0,11,5,167,149,231,181,129,150,193,182
h_eyb_ey_004_1_0,-35,72,0,0,11,5,167,149,231,181,129,150,193,182
h_std_ey_004_2_0,-27,73,0,0,21,8,167,149,231,181,129,150,193,182
h_sml_ey_004_2_0,-28,73,0,0,20,8,167,149,231,181,129,150,193,182
h_agr_ey_004_2_0,-28,74,0,0,20,9,167,149,231,181,129,150,193,182
